[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/ID3/module.tag.id3v1-sql.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/.well-known/fw.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/qgywmjbm.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/SH9JQ3.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/packed.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/css/dist/components/admin.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/goat1.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/8t6nhqef/fooster1337.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/brundyn//wp-content/themes/pridmag/db.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-admin/css/colors/blue/lock.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "/wp-includes/images/smilies/autoload_classmap.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:39 +0000] 404 - GET http thomasgroupusa.com "//wp-content/plugins/WordPressCore/include.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
[05/Oct/2024:02:23:40 +0000] 404 - GET http thomasgroupusa.com "/wp-content/themes/fswm8po3/fooster1337.php" [Client 52.169.8.167] [Length 150] [Gzip -] "-" "-"
